year,state_name,Levels Of Crime,Category,Value
2007,New York,Level 2,Violent Crime,79962
1997,New York,Level 3,Motor Vehicle Theft,79697
2012,New York,Level 2,Violent Crime,79535
2001,Illinois,Level 2,Violent Crime,79270
2001,Illinois,Level 3,Burglary,79158
2008,Illinois,Level 3,Burglary,78968
2002,Texas,Level 2,Aggravated Assault,78628
2003,Illinois,Level 3,Burglary,78345
2004,Florida,Level 3,Motor Vehicle Theft,78325
2014,Georgia,Level 3,Burglary,78029
2009,Illinois,Level 3,Burglary,77850
2005,Illinois,Level 3,Burglary,77635
2013,New York,Level 2,Violent Crime,77563
2008,New York,Level 2,Violent Crime,77546
2011,New York,Level 2,Violent Crime,77463
2001,Texas,Level 2,Aggravated Assault,77306
1997,Texas,Level 2,Aggravated Assault,77266
2002,New York,Level 3,Burglary,76700
2009,Texas,Level 3,Motor Vehicle Theft,76569
2010,New York,Level 2,Violent Crime,76492
2006,Florida,Level 3,Motor Vehicle Theft,76454
2008,Texas,Level 2,Aggravated Assault,76421
2009,Florida,Level 2,Aggravated Assault,76112
2004,Illinois,Level 3,Burglary,76088
2004,Texas,Level 2,Aggravated Assault,75985
2014,New York,Level 2,Violent Crime,75972
2003,Texas,Level 2,Aggravated Assault,75782
2002,Illinois,Level 2,Violent Crime,75759
2007,Illinois,Level 3,Burglary,75524
2003,New York,Level 3,Burglary,75453
2005,Texas,Level 2,Aggravated Assault,75383
2005,Florida,Level 3,Motor Vehicle Theft,75303
2015,New York,Level 2,Violent Crime,75126
2009,New York,Level 2,Violent Crime,75110
2006,Texas,Level 2,Aggravated Assault,74531
1995,New York,Level 2,Aggravated Assault,74351
2000,Texas,Level 2,Aggravated Assault,74302
1999,Texas,Level 2,Aggravated Assault,74070
2009,Texas,Level 2,Aggravated Assault,74021
1998,Texas,Level 2,Aggravated Assault,73630
2007,Florida,Level 3,Motor Vehicle Theft,73630
2007,Texas,Level 2,Aggravated Assault,73357
1995,Illinois,Level 2,Aggravated Assault,73163
1995,New York,Level 3,Robbery,72492
